Neutre,Index_L,Listes
Neutre,# Choisir une liste de médicaments,1
Neutre,"Hypokaliémiants (Thésaurus ANSM, 2020)","[EN RESUME : Diurétique de l’anse, Diurétiques Thiazidiques, Corticoïdes, Laxatifs stimulants, Sels de sodium, Amphotéricine B (en IV), Réglisse (en Pastis++), Tetracosactide]
altizide, amphotericine b (en IV), bendroflumethiazide, betamethasone, bisacodyl, boldo, bourdaine, bumetanide, cascara, cascara sagrada, chlortalidone, cicletanine, clopamide, cortisone, cortivazol, dexamethasone, fludrocortisone, furosemide, hydrochlorothiazide, hydrocortisone, indapamide, methyclothiazide, methylprednisolone, piretanide, prednisolone, prednisone, reglisse, rhubarbe, ricin, ricinus communis, sene, sene de l'inde, sodium (docusate de), sodium (picosulfate de), sodium (ricinoleate de), tetracosactide, triamcinolone"
Neutre,"Hyperkaliémiants (Thésaurus ANSM, 2020)","[EN RESUME : AINS, IEC, ARA II, Anti-aldostérone, HBPM, Fondaparinux, Triméthoprime, Ciclosporine, Tacrolimus, Amiloride et Triamtérène]
aceclofenac, acide mefenamique, acide niflumique, acide tiaprofenique, alminoprofene, amiloride, azilsartan, benazepril, candesartan cilexetil, canrenoate de potassium, captopril, celecoxib, ciclosporine, cilazapril, dalteparine sodique, danaparoide sodique, dexketoprofene trometamol, diclofenac, drospirenone, enalapril, enoxaparine, eplerenone, eprosartan, etodolac, fenoprofene, flurbiprofene, fondaparinux, fosinopril, heparine calcique, heparine sodique, ibuprofene, indometacine, irbesartan, ketoprofene, lisinopril, losartan, meloxicam, moexipril, morniflumate, nabumetone, nadroparine calcique, naproxene, nimesulide, olmesartan, parecoxib, périndopril, piroxicam, piroxicam-betadex, potassium, quinapril, ramipril, reviparine, rofecoxib, spironolactone, sulindac, tacrolimus, telmisartan, tenoxicam, tinzaparine, trandolapril, triamterene, trimethoprime, valsartan, zofenopril"
Neutre,"Torsadogènes (Thésaurus ANSM, 2020)","amiodarone, amisulpride, arsenieux, chloroquine, chlorpromazine, citalopram, cocaine, crizotinib, cyamemazine, disopyramide, domperidone, dronedarone, droperidol, erythromycine, escitalopram, flupentixol, fluphenazine, halofantrine, haloperidol, hydroquinidine, hydroxychloroquine, hydroxyzine, levomepromazine, lumefantrine, mequitazine, methadone, moxifloxacine, pentamidine, pimozide, pipamperone, pipéraquine, pipotiazine, quinidine, sotalol, spiramycine, sulpiride, tiapride, toremifene, vandétanib, vincamine, zuclopenthixol"
Neutre,"Torsadogène (Credible Meds, février, 2022)","amiodarone, anagrélide, azithromycin, arsenieux, chloroquine, chlorpromazine, ciprofloxacin, citalopram, clarithromycin, cocaine, disopyramide, domperidone, donepezil, dronedarone, droperidol, erythromycine, escitalopram, flecainide, fluconazole, halofantrine, haloperidol, hydroquinidine, hydroxychloroquine, levofloxacin, levomepromazin, methadone, moxifloxacin, ondansetron, oxaliplatin, pentamidine, pimozide, procainamide, propofol, quinidine, roxithromycin, sotalol, sulpiride, vandetanib"
Neutre,"Anticholinergiques (Thésaurus ANSM, 2020)","alimemazine, amitriptyline, amoxapine, atropine, azelastine, biperidene, brompheniramine, chlorphenamine, chlorpromazine, clidinium, clomipramine, clozapine, cyamemazine, cyclopentolate, cyproheptadine, darifenacine, dexchlorpheniramine, di(acefylline) diphenhydramine, dimenhydrinate, diphenhydramine, disopyramide, dosulepine, doxepine, doxylamine, fesoterodine, flavoxate, flunarizine, flupentixol, fluphenazine, glycopyrronium, homatropine, hydroxyzine, imipramine, ipratropium, isothipendyl, levomepromazine, loxapine, maprotiline, méclozine, mepyramine, mequitazine, metopimazine, nefopam, oxomemazine, oxybutynine, pheniramine, phenyltoloxamine, pimethixene, pipotiazine, pizotifene, promethazine, propericiazine, quetiapine, quinidine, scopolamine, solifenacine, tolterodine, trihexyphenidyle, trimipramine, triprolidine, tropatepine, tropicamide, trospium, uméclidinium, zuclopenthixol"
Neutre,"Hyponatrémiants (Thésaurus ANSM, 2020)","altizide, amiloride, argipressine, bendroflumethiazide, bumetanide, canrenoate de potassium, carbamazepine, chlortalidone, cicletanine, citalopram, clopamide, desmopressine, eplerenone, escitalopram, fluoxetine, fluvoxamine, furosemide, hydrochlorothiazide, indapamide, methyclothiazide, oxcarbazepine, paroxetine, piretanide, sertraline, spironolactone, triamterene"
Neutre,"Médicaments abaissant le seuil épileptogène (Thésaurus ANSM, 2020)","alimemazine, amitriptyline, amoxapine, bupropion, camphre, chloroquine, chlorpromazine, cineole, ciprofloxacine, citalopram, clomipramine, cyamemazine, dosulepine, doxepine, droperidol, enoxacine, escitalopram, eucalyptus, eugenol, fampridines, fluoxetine, fluphenazine, fluvoxamine, haloperidol, imipramine, levofloxacine, levomenthol, levomepromazine, lomefloxacine, maprotiline, mefloquine, menthe, menthol racemique, moxifloxacine, niaouli, norfloxacine, ofloxacine, oxomemazine, paroxetine, pefloxacine, penfluridol, pimozide, pipamperone, pipotiazine, promethazine, propericiazine, quetiapine, sertraline, tapentadol, terpine, terpineol, terpinol, thymol, tramadol, trimipramine, vortioxétine"
Neutre,"Médicament à l’origine d’une hypotension orthostatique (Thésaurus ANSM, 2020)","[EN RESUME : Antidopaminergiques, Dopaminergiques, Phénotiazines, Dérivés nitrés, Inhibiteur de PDE5, Alpha-bloquant à visée urologique, Antidépresseurs tricyliques, Amantadine, Vortioxétine, Riociguat et Levosimendan]
alfuzosine, alimemazine, alizapride, amantadine, amifostine, amisulpride, amitriptyline, amoxapine, apomorphine, aripiprazole, avanafil, baclofene, bromocriptine, chlorpromazine, clomipramine, clozapine, cyamemazine, dinitrate d'isosorbide, dosulepine, doxazosine, doxepine, droperidol, entacapone, flupentixol, fluphenazine, haloperidol, imipramine, isosorbide, levodopa, levomepromazine, lévosimendan, lisuride, loxapine, maprotiline, metopimazine, molsidomine, nicorandil, olanzapine, oxomemazine, paliperidone, penfluridol, pimozide, pipamperone, pipotiazine, piribedil, pramipexole, prazosine, promethazine, propericiazine, quetiapine, rasagiline, riociguat, risperidone, ropinirole, rotigotine, selegiline, sildenafil, silodosine, sulpiride, tadalafil, tamsulosine, terazosine, tiapride, tolcapone, trimipramine, trinitrine, vardenafil, vortioxétine, zuclopenthixol"
Neutre,"Médicaments à l’origine d’un syndrome sérotoninergique (Thésaurus ANSM, 2020)","[EN RESUME : Inhibiteur de SERT, IMAO A, Millepertuis, Lithium, Bupropion]
amitriptyline, bleu de methylene, bupropion, citalopram, clomipramine, duloxetine, escitalopram, fluoxetine, fluvoxamine, imipramine, iproniazide, linezolide, lithium, millepertuis, milnacipran, moclobemide, oxitriptan, paroxetine, pethidine, sertraline, tramadol, trimipramine, tryptophane, venlafaxine"
Neutre,"Médicaments néphrotoxiques (Thésaurus ANSM, 2020)","aciclovir, acide amidotrizoïque, acide clodronique, acide ioxaglique, acide ioxitalamique, adefovir, amikacine, amphotericine b, carboplatine, ciclosporine, cisplatine, colistine, foscarnet, ganciclovir, gentamicine, ifosfamide, iobitridol, iodixanol, iohexol, iomeprol, iopamidol, iopromide, ioversol, isepamicine, methotrexate, netilmicine, oxaliplatine, pentamidine, spectinomycine, streptomycine, streptozocine, tacrolimus, teicoplanine, tenofovir disoproxil, tobramycine, valaciclovir, valganciclovir, vancomycine"
Neutre,"Médicaments ototoxiques (Thésaurus ANSM, 2020)","amikacine, bumetanide, carboplatine, cisplatine, furosemide, gentamicine, isepamicine, netilmicine, oxaliplatine, piretanide, streptomycine, teicoplanine, tobramycine, vancomycine, vinblastine, vincristine, vindesine, vinflunine, vinorelbine"
Neutre,"Médicaments sédatifs (Thésaurus ANSM, 2020)","[EN RESUME : Opioïdes, Antidopaminergiques (cachés ou non) centraux, Benzodiazépines, Barbituriques, Antihistaminergiques (cachés ou non) centraux, Antihypertenseurs centraux, dapoxétine, ropinirole, prégabaline, gabapentine, thalidomide, ziconotide]
agomelatine, alfentanil, alimemazine, alizapride, alprazolam, amisulpride, amitriptyline, aripiprazole, avizafone, azelastine, baclofene, bromazepam, brompheniramine, buprenorphine, captodiame, chlordiazepoxide, chlorphenamine, chlorpromazine, clobazam, clonazepam, clonidine, clorazepate, clotiazepam, clozapine, codeine, cyamemazine, cyproheptadine, dapoxétine, dexchlorpheniramine, dexmédétomidine, dextromethorphane, di(acefylline) diphenhydramine, diazepam, dihydrocodeine, dimenhydrinate, diphenhydramine, doxepine, doxylamine, droperidol, estazolam, eszopiclone, ethylmorphine, etifoxine, fenspiride, fentanyl, flunarizine, flupentixol, fluphenazine, flurazepam, gabapentine, haloperidol, hydromorphone, hydroxyzine, isothipendyl, ketotifene, levomepromazine, loflazépate, loprazolam, lorazepam, lormetazepam, loxapine, maprotiline, méclozine, mepyramine, mequitazine, methadone, methyldopa, metoclopramide, metopimazine, mianserine, midazolam, mirtazapine, morphine, moxonidine, nalbuphine, naloxone, nefopam, nitrazepam, nordazepam, noscapine, olanzapine, oxazepam, oxetorone, oxomemazine, oxybate de sodium, oxycodone, paliperidone, penfluridol, pérampanel, pethidine, pheniramine, phenobarbital, phenyltoloxamine, pholcodine, pimethixene, pimozide, pipamperone, pipotiazine, pizotifene, prazepam, pregabaline, primidone, promethazine, propericiazine, quetiapine, remifentanil, rilmenidine, risperidone, ropinirole, rupatadine, sodium (oxybate de), sufentanil, sulpiride, tapentadol, tetrabenazine, thalidomide, tiapride, tramadol, trimipramine, triprolidine, ziconotide, zolpidem, zopiclone, zuclopenthixol"
Neutre,"Médicaments bradykinine et Angio-oedème (Thésaurus ANSM, 2020)","[EN RESUME : IEC, (ARA II), Sacubitril, Inhibiteurs de DPP-IV, Inhibiteurs de mTOR, Racécadotril] 
alteplase recombinante, azilsartan, benazepril, candesartan cilexetil, captopril, cilazapril, enalapril, eprosartan, estramustine, évérolimus, fosinopril, irbesartan, linagliptine, lisinopril, losartan, moexipril, olmesartan, périndopril, quinapril, racecadotril, ramipril, sacubitril, saxagliptine, sirolimus, sitagliptine, telmisartan, temsirolimus, trandolapril, valsartan, vildagliptine, zofenopril"
Neutre,"Inhibiteurs puissants du 3A4 (Thésaurus ANSM, 2020)","clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telithromycine, voriconazole"
Neutre,"Inhibiteurs puissants du 3A4, autre que ceux de l’ANSM, des hôpitaux de Genève","Acide fusidique, amiodarone, boceprevir, cannabidiol, ciclosporine, cimétidine, diltiazem, fluconazole, orange de séville, imatinib, miconazole, néfadozone, pamplemousse, réglisse, roxithromycine, simeprevir, vérapamil."
Neutre,"Substrats à risques du 3A4 (Thésaurus ANSM, 2020)","abémaciclib, alfentanil, apixaban, atorvastatine, axitinib, bortezomib, bosutinib, brigatinib, cabazitaxel, cabozantinib, céritinib, ciclosporine, cobimétinib, crizotinib, dabrafénib, dasatinib, dihydroergotamine, docetaxel, ergotamine, erlotinib, everolimus, gefitinib, halofantrine, ibrutinib, imatinib, irinotecan, lapatinib, lorlatinib, lumefantrine, midazolam, nilotinib, osimertinib, oxycodone, paclitaxel, palbociclib, pazopanib, pimozide, ponatinib, quetiapine, quinine, rivaroxaban, ruxolitinib, simvastatine, sirolimus, sorafenib, sufentanil, sunitinib, tacrolimus, temsirolimus, ticagrelor, vandétanib, vinblastine, vincristine, vindesine, vinflunine, vinorelbine"
